exposed,infected,n_general_tested,n_infected_tested,n_neighbors_tested,n_neighbors_traced,quarantined,recovered,susceptible,test_rate,step,day
29,37,0,0,0,0,0,5789,4145,0.0,351,70.2
28,36,0,0,0,0,0,5791,4145,0.0,352,70.4
26,36,0,0,0,0,0,5793,4145,0.0,353,70.6
24,36,0,0,0,0,0,5795,4145,0.0,354,70.8
24,34,0,0,0,0,0,5797,4145,0.0,355,71.0
23,32,0,0,0,0,0,5800,4145,0.0,356,71.2
23,31,0,0,0,0,0,5801,4145,0.0,357,71.4
20,34,0,0,0,0,0,5801,4145,0.0,358,71.6
22,34,0,0,0,0,0,5801,4143,0.0,359,71.8
21,31,0,0,0,0,0,5805,4143,0.0,360,72.0
20,30,0,0,0,0,0,5807,4143,0.0,361,72.2
19,29,0,0,0,0,0,5809,4143,0.0,362,72.4
18,27,0,0,0,0,0,5812,4143,0.0,363,72.6
19,25,0,0,0,0,0,5814,4142,0.0,364,72.8
19,24,0,0,0,0,0,5815,4142,0.0,365,73.0
19,21,0,0,0,0,0,5818,4142,0.0,366,73.2
18,19,0,0,0,0,0,5821,4142,0.0,367,73.4
18,18,0,0,0,0,0,5822,4142,0.0,368,73.6
18,15,0,0,0,0,0,5825,4142,0.0,369,73.8
17,14,0,0,0,0,0,5827,4142,0.0,370,74.0
16,15,0,0,0,0,0,5827,4142,0.0,371,74.2
16,15,0,0,0,0,0,5827,4142,0.0,372,74.4
14,17,0,0,0,0,0,5827,4142,0.0,373,74.6
14,17,0,0,0,0,0,5827,4142,0.0,374,74.8
13,17,0,0,0,0,0,5828,4142,0.0,375,75.0
12,17,0,0,0,0,0,5829,4142,0.0,376,75.2
12,14,0,0,0,0,0,5832,4142,0.0,377,75.4
12,13,0,0,0,0,0,5833,4142,0.0,378,75.6
13,13,0,0,0,0,0,5833,4141,0.0,379,75.8
12,14,0,0,0,0,0,5833,4141,0.0,380,76.0
12,14,0,0,0,0,0,5833,4141,0.0,381,76.2
12,14,0,0,0,0,0,5833,4141,0.0,382,76.4
12,14,0,0,0,0,0,5833,4141,0.0,383,76.6
11,15,0,0,0,0,0,5833,4141,0.0,384,76.8
10,15,0,0,0,0,0,5834,4141,0.0,385,77.0
11,14,0,0,0,0,0,5835,4140,0.0,386,77.2
12,13,0,0,0,0,0,5836,4139,0.0,387,77.4
12,12,0,0,0,0,0,5837,4139,0.0,388,77.6
12,11,0,0,0,0,0,5838,4139,0.0,389,77.8
12,11,0,0,0,0,0,5838,4139,0.0,390,78.0
12,11,0,0,0,0,0,5839,4138,0.0,391,78.2
12,10,0,0,0,0,0,5840,4138,0.0,392,78.4
11,10,0,0,0,0,0,5841,4138,0.0,393,78.6
11,10,0,0,0,0,0,5841,4138,0.0,394,78.8
10,11,0,0,0,0,0,5841,4138,0.0,395,79.0
10,11,0,0,0,0,0,5841,4138,0.0,396,79.2
10,11,0,0,0,0,0,5841,4138,0.0,397,79.4
12,11,0,0,0,0,0,5841,4136,0.0,398,79.6
11,12,0,0,0,0,0,5841,4136,0.0,399,79.8
11,11,0,0,0,0,0,5842,4136,0.0,400,80.0
11,11,0,0,0,0,0,5842,4136,0.0,401,80.2
11,10,0,0,0,0,0,5843,4136,0.0,402,80.4
12,10,0,0,0,0,0,5843,4135,0.0,403,80.6
11,11,0,0,0,0,0,5843,4135,0.0,404,80.8
11,11,0,0,0,0,0,5843,4135,0.0,405,81.0
11,11,0,0,0,0,0,5843,4135,0.0,406,81.2
11,11,0,0,0,0,0,5844,4134,0.0,407,81.4
11,13,0,0,0,0,0,5844,4132,0.0,408,81.6
10,13,0,0,0,0,0,5845,4132,0.0,409,81.8
10,13,0,0,0,0,0,5845,4132,0.0,410,82.0
