exposed,infected,n_general_tested,n_infected_tested,n_neighbors_tested,n_neighbors_traced,quarantined,recovered,susceptible,test_rate,step,day
55,60,0,0,0,0,0,5515,4370,0.0,327,65.4
54,58,0,0,0,0,0,5519,4369,0.0,328,65.6
51,56,0,0,0,0,0,5524,4369,0.0,329,65.8
50,52,0,0,0,0,0,5530,4368,0.0,330,66.0
50,48,0,0,0,0,0,5534,4368,0.0,331,66.2
50,46,0,0,0,0,0,5537,4367,0.0,332,66.4
50,47,0,0,0,0,0,5538,4365,0.0,333,66.6
48,45,0,0,0,0,0,5542,4365,0.0,334,66.8
48,44,0,0,0,0,0,5544,4364,0.0,335,67.0
48,44,0,0,0,0,0,5545,4363,0.0,336,67.2
45,47,0,0,0,0,0,5545,4363,0.0,337,67.4
44,47,0,0,0,0,0,5547,4362,0.0,338,67.6
44,46,0,0,0,0,0,5549,4361,0.0,339,67.8
42,47,0,0,0,0,0,5550,4361,0.0,340,68.0
40,46,0,0,0,0,0,5553,4361,0.0,341,68.2
40,43,0,0,0,0,0,5556,4361,0.0,342,68.4
37,44,0,0,0,0,0,5559,4360,0.0,343,68.6
36,45,0,0,0,0,0,5560,4359,0.0,344,68.8
34,40,0,0,0,0,0,5567,4359,0.0,345,69.0
33,42,0,0,0,0,0,5568,4357,0.0,346,69.2
33,38,0,0,0,0,0,5573,4356,0.0,347,69.4
30,40,0,0,0,0,0,5574,4356,0.0,348,69.6
28,42,0,0,0,0,0,5574,4356,0.0,349,69.8
27,42,0,0,0,0,0,5576,4355,0.0,350,70.0
25,41,0,0,0,0,0,5579,4355,0.0,351,70.2
26,37,0,0,0,0,0,5583,4354,0.0,352,70.4
25,37,0,0,0,0,0,5584,4354,0.0,353,70.6
24,38,0,0,0,0,0,5585,4353,0.0,354,70.8
23,38,0,0,0,0,0,5586,4353,0.0,355,71.0
20,40,0,0,0,0,0,5587,4353,0.0,356,71.2
20,39,0,0,0,0,0,5589,4352,0.0,357,71.4
20,38,0,0,0,0,0,5591,4351,0.0,358,71.6
20,37,0,0,0,0,0,5593,4350,0.0,359,71.8
20,36,0,0,0,0,0,5595,4349,0.0,360,72.0
21,35,0,0,0,0,0,5596,4348,0.0,361,72.2
22,34,0,0,0,0,0,5597,4347,0.0,362,72.4
21,30,0,0,0,0,0,5603,4346,0.0,363,72.6
21,30,0,0,0,0,0,5603,4346,0.0,364,72.8
19,30,0,0,0,0,0,5605,4346,0.0,365,73.0
17,32,0,0,0,0,0,5605,4346,0.0,366,73.2
18,30,0,0,0,0,0,5607,4345,0.0,367,73.4
18,29,0,0,0,0,0,5608,4345,0.0,368,73.6
18,26,0,0,0,0,0,5611,4345,0.0,369,73.8
16,27,0,0,0,0,0,5612,4345,0.0,370,74.0
16,28,0,0,0,0,0,5613,4343,0.0,371,74.2
15,30,0,0,0,0,0,5613,4342,0.0,372,74.4
15,29,0,0,0,0,0,5615,4341,0.0,373,74.6
16,28,0,0,0,0,0,5616,4340,0.0,374,74.8
18,27,0,0,0,0,0,5617,4338,0.0,375,75.0
17,28,0,0,0,0,0,5617,4338,0.0,376,75.2
16,28,0,0,0,0,0,5618,4338,0.0,377,75.4
16,27,0,0,0,0,0,5619,4338,0.0,378,75.6
15,26,0,0,0,0,0,5621,4338,0.0,379,75.8
14,24,0,0,0,0,0,5624,4338,0.0,380,76.0
14,21,0,0,0,0,0,5627,4338,0.0,381,76.2
14,21,0,0,0,0,0,5627,4338,0.0,382,76.4
15,20,0,0,0,0,0,5628,4337,0.0,383,76.6
15,20,0,0,0,0,0,5628,4337,0.0,384,76.8
14,20,0,0,0,0,0,5629,4337,0.0,385,77.0
14,20,0,0,0,0,0,5629,4337,0.0,386,77.2
12,22,0,0,0,0,0,5629,4337,0.0,387,77.4
11,21,0,0,0,0,0,5631,4337,0.0,388,77.6
11,19,0,0,0,0,0,5633,4337,0.0,389,77.8
11,17,0,0,0,0,0,5635,4337,0.0,390,78.0
11,17,0,0,0,0,0,5635,4337,0.0,391,78.2
12,17,0,0,0,0,0,5635,4336,0.0,392,78.4
12,17,0,0,0,0,0,5635,4336,0.0,393,78.6
12,16,0,0,0,0,0,5636,4336,0.0,394,78.8
10,17,0,0,0,0,0,5637,4336,0.0,395,79.0
10,16,0,0,0,0,0,5638,4336,0.0,396,79.2
10,16,0,0,0,0,0,5638,4336,0.0,397,79.4
9,15,0,0,0,0,0,5640,4336,0.0,398,79.6
8,14,0,0,0,0,0,5642,4336,0.0,399,79.8
8,13,0,0,0,0,0,5643,4336,0.0,400,80.0
8,12,0,0,0,0,0,5644,4336,0.0,401,80.2
9,11,0,0,0,0,0,5645,4335,0.0,402,80.4
9,9,0,0,0,0,0,5647,4335,0.0,403,80.6
8,10,0,0,0,0,0,5647,4335,0.0,404,80.8
9,9,0,0,0,0,0,5648,4334,0.0,405,81.0
10,9,0,0,0,0,0,5648,4333,0.0,406,81.2
9,8,0,0,0,0,0,5650,4333,0.0,407,81.4
9,8,0,0,0,0,0,5650,4333,0.0,408,81.6
9,8,0,0,0,0,0,5650,4333,0.0,409,81.8
9,8,0,0,0,0,0,5650,4333,0.0,410,82.0
8,9,0,0,0,0,0,5650,4333,0.0,411,82.2
7,9,0,0,0,0,0,5651,4333,0.0,412,82.4
7,9,0,0,0,0,0,5651,4333,0.0,413,82.6
8,9,0,0,0,0,0,5651,4332,0.0,414,82.8
8,7,0,0,0,0,0,5653,4332,0.0,415,83.0
8,7,0,0,0,0,0,5653,4332,0.0,416,83.2
8,7,0,0,0,0,0,5653,4332,0.0,417,83.4
8,7,0,0,0,0,0,5653,4332,0.0,418,83.6
8,7,0,0,0,0,0,5653,4332,0.0,419,83.8
8,6,0,0,0,0,0,5654,4332,0.0,420,84.0
8,6,0,0,0,0,0,5654,4332,0.0,421,84.2
9,5,0,0,0,0,0,5655,4331,0.0,422,84.4
8,6,0,0,0,0,0,5655,4331,0.0,423,84.6
9,6,0,0,0,0,0,5655,4330,0.0,424,84.8
9,6,0,0,0,0,0,5655,4330,0.0,425,85.0
8,7,0,0,0,0,0,5655,4330,0.0,426,85.2
8,6,0,0,0,0,0,5656,4330,0.0,427,85.4
9,5,0,0,0,0,0,5657,4329,0.0,428,85.6
9,5,0,0,0,0,0,5657,4329,0.0,429,85.8
8,6,0,0,0,0,0,5657,4329,0.0,430,86.0
8,6,0,0,0,0,0,5657,4329,0.0,431,86.2
8,5,0,0,0,0,0,5658,4329,0.0,432,86.4
8,4,0,0,0,0,0,5659,4329,0.0,433,86.6
7,5,0,0,0,0,0,5659,4329,0.0,434,86.8
8,4,0,0,0,0,0,5660,4328,0.0,435,87.0
7,4,0,0,0,0,0,5661,4328,0.0,436,87.2
6,4,0,0,0,0,0,5662,4328,0.0,437,87.4
6,3,0,0,0,0,0,5663,4328,0.0,438,87.6
7,3,0,0,0,0,0,5663,4327,0.0,439,87.8
7,3,0,0,0,0,0,5663,4327,0.0,440,88.0
7,3,0,0,0,0,0,5663,4327,0.0,441,88.2
5,5,0,0,0,0,0,5663,4327,0.0,442,88.4
5,5,0,0,0,0,0,5663,4327,0.0,443,88.6
5,5,0,0,0,0,0,5663,4327,0.0,444,88.8
5,4,0,0,0,0,0,5664,4327,0.0,445,89.0
5,4,0,0,0,0,0,5664,4327,0.0,446,89.2
5,4,0,0,0,0,0,5664,4327,0.0,447,89.4
4,5,0,0,0,0,0,5664,4327,0.0,448,89.6
4,4,0,0,0,0,0,5665,4327,0.0,449,89.8
3,3,0,0,0,0,0,5667,4327,0.0,450,90.0
3,4,0,0,0,0,0,5667,4326,0.0,451,90.2
3,4,0,0,0,0,0,5667,4326,0.0,452,90.4
3,3,0,0,0,0,0,5668,4326,0.0,453,90.6
3,3,0,0,0,0,0,5668,4326,0.0,454,90.8
3,3,0,0,0,0,0,5668,4326,0.0,455,91.0
3,3,0,0,0,0,0,5668,4326,0.0,456,91.2
3,3,0,0,0,0,0,5668,4326,0.0,457,91.4
3,3,0,0,0,0,0,5668,4326,0.0,458,91.6
